Type,Organization,Name,org_url,Title,picture_url,bio,linkedIn_url,industry,size,noaa,census,uspto,bea,nist
company,3 Round Stones,Bernadette Hyland,http://3RoundStones.com,CEO,https://media.licdn.com/media/p/6/005/015/056/3b1a8ed.jpg,"Bernadette Hyland is the CEO at 3 Round Stones, the provider of Callimachus Enterprise, a leading platform for creating data-intensive applications. Her role in promoting revenue-generating activities builds on over 20 years of experience in wide-scale information management strategy and technology roles. In addition to co-founding and serving as CEO of profitable software organizations in the U.S. and Australia, Ms. Hyland has held leadership positions at financial services firms including Morgan Stanley and Goldman Sachs. Prior to founding 3 Round Stones, she served as CEO of the Web services firm Zepheira. In 2005, she assisted in the acquisition of Tucana Technologies by Northrop Grumman.
Ms. Hyland is an expert in international Web data standards (W3C) and has written over a dozen publications on best practices for online complex data publication. She holds a bachelor’s degree in computer sciences and linguistics from UCLA.",http://www.linkedin.com/in/bhyland,Data/Technology,4,x,,,,
company,AccuWeather,Barry Myers,http://www.accuweather.com,CEO,https://media.licdn.com/media/p/1/000/014/33e/0c2b2cf.jpg,"Barry Lee Myers became the CEO of AccuWeather, Inc. in State College, Pennsylvania in 2007. Prior to assuming his current role, Dr. Myers served as the Executive Vice President and General Counsel of AccuWeather. In the 2001 and 2007 meetings of the U.N.’s World Meterological Organization Meetings in Geneva, Switzerland, Dr. Myers served as an advisor to the Director of the U.S. National Weather Service. He has served on the Board of Directors of the American Weather and Climate Industry Association, the trade association representing the weather industry, since 1990, and has held the role of the industry’s chief federal-relations officer. He is a member of the American Meteorological Society.
For 18 years, Dr. Myers served on the faculty of Penn State’s Smeal College of Business. Dr. Myers received a B.S. in business administration and economics from Pennsylvania State University and a J.D. from Boston University School of Law.",https://www.linkedin.com/profile/view?id=20049520&authType=name&authToken=i7Ue&trk=miniprofile-primary-view-button,Climate & Weather,404,x,,x,,
company,Amazon Web Services,Ariel Gold,http://aws.amazon.com,"Program Manager, World Wide Public Sector",https://media.licdn.com/mpr/mpr/shrink_200_200/p/2/000/009/1b7/2f1ecd8.jpg,Ariel Gold serves as a Program Manager for Global Public Sector at Amazon.,http://www.linkedin.com/pub/ariel-gold/3/274/bab,Data/Technology,10001+,,,,,
company,Amazon Web Services,Frank Digiammarino,http://aws.amazon.com,"Director, Global Public Sector",https://media.licdn.com/media/p/1/000/1d5/161/3768b49.jpg,"Frank DiGiammarino serves as Director of Global Public Sector at Amazon. Before joining Amazon, he served in the White House where he was Deputy to the Special Advisor to the President for Recovery Implementation as a team leader responsible for disbursement of stimulus funds under the American Recovery and Reinvestment Act. His previous experience includes a stint as Vice President of Strategic Initiatives at the National Academy of Public Administration, and as a senior consultant and strategist at Touchstone Consulting, Sapient Corporation, and American Management Systems. Mr. DiGiammarino holds a master’s degree in Public Administration from The George Washington University and a bachelor’s degree from the University of Massachusetts.",http://www.linkedin.com/pub/frank-digiammarino/0/78/3b0,Data/Technology,10001+,,,,,
company,Apigee,Robert Glass,http://apigee.com,Federal Solution Architect,https://media.licdn.com/mpr/mpr/shrink_200_200/p/7/005/02e/233/36c9062.jpg,"Bob has served as a leading expert in the U.S. Intelligence Community (IC) for the past 22 years. In 1992, he left college early to work for the Defense Mapping Agency where he served and eventually supervised all mainframe computer operations. During this time he decided to complete his degree attending night school at Strayer University and received his B.S. in 2000. He decided to continue his career in the private sector while still supporting National Security clients as a contractor and eventually a vendor. He went onto complete his M.S. in Software Engineering from George Mason University and graduated magna cum laude in 2007. He recently served as a Principal Solution Architect for the IC the past 8 years with Oracle's National Security Group. Bob has written for several government publications and is known within his domain as an expert SOA and Cloud architect.",https://www.linkedin.com/in/rglass,Data/Technology,501 to 1000,,,,,
company,Appallicious,Ashley De Smeth,http://appallicious.com,Director of Development and Government Affairs,https://media.licdn.com/media/p/7/000/231/3d4/0b2be5c.jpg,"Ashley De Smeth serves as Director of Development and Government Affiars at Appallicious. Previously, she served in the White House Office of Legislative Affairs as an Interagency Liaison and as Director of Government and Nonprofit Affairs for Crowdtilt, the world’s largest funding platform. Ms. De Smeth holds a master’s degree from the Goldman School of Public Policy at the University of California, Berkeley.",http://www.linkedin.com/pub/ashley-de-smeth/11/950/661,Data/Technology,13,x,x,,x,
company,Azavea,Sarah Cordivano,http://azavea.com,"Project Manager, Data Analytics team",https://media.licdn.com/media/p/3/000/0d4/2e3/09aefdb.jpg,"Sarah Cordivano is the project manager of the Data Analytics team at Azavea, a geospatial software and analysis company for web and mobile platforms. At Azavea, she has supervised the development of the Cicero API and Summer of Maps Program. Prior to joining the company, Ms. Cordivano served as a GIS specialist for the City of Philadelphia in the Office of Innovation and Technology. 
 Ms. Cordivano holds a bachelor’s degree from Temple University in Geography and Urban Studies and a master’s from the University of Pennsylvania School of Design in Urban Spatial Analytics.",http://www.linkedin.com/pub/sarah-cordivano/28/158/119,Geospatial/Mapping,35,x,x,,,
company,Esri,Laura McNulty,http://esri.com,"Manager, National Government Health & Sciences Team",,Laura McNulty is the Manager of the National Government Health & Sciences Team at Esri.,http://www.linkedin.com/pub/laura-mcnulty/0/b0/62b,Geospatial/Mapping,3500,x,x,,x,x
company,Google Maps,George Ivanov,https://www.google.com/maps/about/explore/,Public Policy and Government Relations Analyst,https://media.licdn.com/media/p/1/005/015/2ed/14b679f.jpg,"George Ivanov serves as a Public Policy and Government Relations Analyst with Google in their Washington, D.C. office. He holds a master’s degree in International Science & Technology Policy as well as a bachelor’s degree in International Affairs, both from George Washington University.",http://www.linkedin.com/in/georgeivanov,Business & Legal Services,20000 (Google overall),,,x,,
company,Harris Corporation,Stephen Marley,http://www.harris.com,Chief Technologist,,Steven Marley is a Systems Engineer/Chief Technologist at Harris Corporation.,http://www.linkedin.com/in/stephenmarley,Business & Legal Services,14000,x,,,,
